[2026-07-28T04:01:28.492Z] [INFO] AI workers disabled (default) - all workers run local-only. Enable with `daemon start --headless`, daemon.aiWorkers.enabled=true, or RUFLO_DAEMON_AI_WORKERS=1 (#2661)
[2026-07-28T04:01:28.494Z] [INFO] Scheduled map (interval: 900s, first run in 0s)
[2026-07-28T04:01:28.494Z] [INFO] Scheduled audit (interval: 600s, first run in 120s)
[2026-07-28T04:01:28.495Z] [INFO] Scheduled optimize (interval: 900s, first run in 240s)
[2026-07-28T04:01:28.495Z] [INFO] Scheduled consolidate (interval: 1800s, first run in 360s)
[2026-07-28T04:01:28.495Z] [INFO] Scheduled testgaps (interval: 1200s, first run in 480s)
[2026-07-28T04:01:28.495Z] [INFO] Scheduled backup (interval: 86400s, first run in 600s)
[2026-07-28T04:01:28.496Z] [INFO] Scheduled harness (interval: 21600s, first run in 720s)
[2026-07-28T04:01:28.496Z] [INFO] Lifecycle monitor active (workspace-removal, ttl=43200s)
[2026-07-28T04:29:28.505Z] [INFO] Worker testgaps completed in 2ms
[2026-07-28T04:31:28.527Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T04:31:28.528Z] [INFO] Worker map completed in 4ms
[2026-07-28T04:46:53.515Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T04:46:53.708Z] [INFO] Worker audit completed in 307ms
[2026-07-28T04:46:53.845Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T04:46:53.911Z] [INFO] Worker optimize completed in 90ms
[2026-07-28T04:46:54.001Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T04:46:54.079Z] [INFO] Worker map completed in 123ms
[2026-07-28T04:46:54.307Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T04:46:54.425Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T04:46:54.458Z] [INFO] Worker consolidate completed in 279ms
[2026-07-28T06:06:12.871Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T06:06:12.874Z] [INFO] Worker testgaps completed in 62ms
[2026-07-28T06:06:13.270Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:06:13.869Z] [INFO] Worker audit completed in 601ms
[2026-07-28T06:06:14.667Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:06:15.002Z] [INFO] Worker optimize completed in 899ms
[2026-07-28T06:06:15.047Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:06:15.162Z] [INFO] Worker map completed in 117ms
[2026-07-28T06:06:15.241Z] [ERROR] Failed to save state: Error: EPERM: operation not permitted, rename 'c:\Users\schvarla\Documents\XI-RPL\Coding\Arus\.claude-flow\daemon-state.json.tmp' -> 'c:\Users\schvarla\Documents\XI-RPL\Coding\Arus\.claude-flow\daemon-state.json'
[2026-07-28T06:06:15.386Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T06:06:15.387Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T06:06:15.432Z] [INFO] Worker consolidate completed in 72ms
[2026-07-28T06:16:14.113Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:16:14.115Z] [INFO] Worker audit completed in 10ms
[2026-07-28T06:21:15.059Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:21:15.060Z] [INFO] Worker optimize completed in 5ms
[2026-07-28T06:21:15.372Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:21:15.374Z] [INFO] Worker map completed in 6ms
[2026-07-28T06:26:13.277Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T06:26:13.279Z] [INFO] Worker testgaps completed in 7ms
[2026-07-28T06:26:14.135Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:26:14.137Z] [INFO] Worker audit completed in 7ms
[2026-07-28T06:36:14.156Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:36:14.158Z] [INFO] Worker audit completed in 6ms
[2026-07-28T06:36:15.074Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:36:15.075Z] [INFO] Worker optimize completed in 4ms
[2026-07-28T06:36:15.386Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:36:15.388Z] [INFO] Worker map completed in 4ms
[2026-07-28T06:36:15.452Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T06:36:15.453Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T06:36:15.453Z] [INFO] Worker consolidate completed in 4ms
[2026-07-28T06:46:13.295Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T06:46:13.297Z] [INFO] Worker testgaps completed in 4ms
[2026-07-28T06:46:14.168Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:46:14.171Z] [INFO] Worker audit completed in 6ms
[2026-07-28T06:51:15.088Z] [INFO] Worker optimize deferred: Memory too low: 8.8% free
[2026-07-28T06:51:15.392Z] [INFO] Worker map deferred: Memory too low: 8.9% free
[2026-07-28T06:56:14.177Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T06:56:14.180Z] [INFO] Worker audit completed in 5ms
[2026-07-28T06:56:14.184Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T06:56:14.186Z] [INFO] Worker optimize completed in 4ms
[2026-07-28T06:56:14.192Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T06:56:14.196Z] [INFO] Worker map completed in 7ms
[2026-07-28T07:06:13.313Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T07:06:13.315Z] [INFO] Worker testgaps completed in 6ms
[2026-07-28T07:06:14.193Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:06:14.195Z] [INFO] Worker audit completed in 6ms
[2026-07-28T07:06:15.094Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T07:06:15.095Z] [INFO] Worker optimize completed in 2ms
[2026-07-28T07:06:15.406Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T07:06:15.408Z] [INFO] Worker map completed in 4ms
[2026-07-28T07:06:15.469Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T07:06:15.473Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T07:06:15.486Z] [INFO] Worker consolidate completed in 19ms
[2026-07-28T07:16:14.239Z] [INFO] Worker audit deferred: Memory too low: 5.1% free
[2026-07-28T07:21:15.104Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T07:21:15.108Z] [INFO] Worker optimize completed in 8ms
[2026-07-28T07:21:15.118Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:21:15.119Z] [INFO] Worker audit completed in 5ms
[2026-07-28T07:21:15.420Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T07:21:15.422Z] [INFO] Worker map completed in 4ms
[2026-07-28T07:26:13.333Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T07:26:13.336Z] [INFO] Worker testgaps completed in 9ms
[2026-07-28T07:26:14.255Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:26:14.258Z] [INFO] Worker audit completed in 5ms
[2026-07-28T07:36:14.276Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:36:14.278Z] [INFO] Worker audit completed in 4ms
[2026-07-28T07:36:15.133Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T07:36:15.138Z] [INFO] Worker optimize completed in 13ms
[2026-07-28T07:36:15.435Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T07:36:15.437Z] [INFO] Worker map completed in 3ms
[2026-07-28T07:36:15.497Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T07:36:15.502Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T07:36:15.502Z] [INFO] Worker consolidate completed in 6ms
[2026-07-28T07:46:13.344Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T07:46:13.345Z] [INFO] Worker testgaps completed in 3ms
[2026-07-28T07:46:14.292Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:46:14.294Z] [INFO] Worker audit completed in 4ms
[2026-07-28T07:51:15.149Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T07:51:15.150Z] [INFO] Worker optimize completed in 3ms
[2026-07-28T07:51:15.452Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T07:51:15.453Z] [INFO] Worker map completed in 3ms
[2026-07-28T07:56:14.321Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T07:56:14.322Z] [INFO] Worker audit completed in 22ms
[2026-07-28T08:06:13.358Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T08:06:13.360Z] [INFO] Worker testgaps completed in 5ms
[2026-07-28T08:06:14.338Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T08:06:14.339Z] [INFO] Worker audit completed in 5ms
[2026-07-28T08:06:15.159Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T08:06:15.160Z] [INFO] Worker optimize completed in 4ms
[2026-07-28T08:06:15.470Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T08:06:15.470Z] [INFO] Worker map completed in 2ms
[2026-07-28T08:06:15.519Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T08:06:15.520Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T08:06:15.523Z] [INFO] Worker consolidate completed in 7ms
[2026-07-28T08:16:25.267Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T08:16:25.518Z] [INFO] Worker audit completed in 344ms
[2026-07-28T08:21:53.339Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T08:21:53.408Z] [INFO] Worker optimize completed in 150ms
[2026-07-28T08:21:53.429Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T08:21:53.517Z] [INFO] Worker map completed in 95ms
[2026-07-28T08:39:34.077Z] [INFO] Starting worker: testgaps (1/2 concurrent)
[2026-07-28T08:39:34.084Z] [INFO] Worker testgaps completed in 178ms
[2026-07-28T08:39:34.099Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T08:39:34.104Z] [INFO] Worker audit completed in 11ms
[2026-07-28T08:39:34.217Z] [ERROR] Failed to save state: Error: EPERM: operation not permitted, rename 'c:\Users\schvarla\Documents\XI-RPL\Coding\Arus\.claude-flow\daemon-state.json.tmp' -> 'c:\Users\schvarla\Documents\XI-RPL\Coding\Arus\.claude-flow\daemon-state.json'
[2026-07-28T08:39:34.227Z] [INFO] Starting worker: consolidate (1/2 concurrent)
[2026-07-28T08:39:34.256Z] [INFO] Consolidate worker: distillation skipped (no-db)
[2026-07-28T08:39:34.258Z] [INFO] Worker consolidate completed in 39ms
[2026-07-28T08:39:34.406Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T08:39:34.435Z] [INFO] Worker optimize completed in 82ms
[2026-07-28T08:39:34.547Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T08:39:34.581Z] [INFO] Worker map completed in 54ms
[2026-07-28T08:54:50.587Z] [INFO] Starting worker: audit (1/2 concurrent)
[2026-07-28T08:54:51.124Z] [INFO] Worker audit completed in 540ms
[2026-07-28T08:54:51.172Z] [INFO] Starting worker: optimize (1/2 concurrent)
[2026-07-28T08:54:51.174Z] [INFO] Worker optimize completed in 8ms
[2026-07-28T08:54:51.186Z] [INFO] Starting worker: map (1/2 concurrent)
[2026-07-28T08:54:51.190Z] [INFO] Worker map completed in 8ms
[2026-07-29T00:53:55.135Z] [INFO] Daemon self-shutdown: max age 43200s reached
[2026-07-29T00:53:55.310Z] [INFO] Stopped worker: map
[2026-07-29T00:53:55.311Z] [INFO] Stopped worker: audit
[2026-07-29T00:53:55.312Z] [INFO] Stopped worker: optimize
[2026-07-29T00:53:55.360Z] [INFO] Stopped worker: consolidate
[2026-07-29T00:53:55.361Z] [INFO] Stopped worker: testgaps
[2026-07-29T00:53:55.362Z] [INFO] Stopped worker: backup
[2026-07-29T00:53:55.365Z] [INFO] Stopped worker: harness
[2026-07-29T00:53:55.652Z] [INFO] Daemon stopped
